Rk,Age,Name, Pos, GP, G, A, P, PIM, +/-, PPG, SHG, GWG, G/GP, A/GP, P/GP,
507,23,Jeff Nelson,F,33,0,7,7,16,3,0,0,0,0.000,0.212,0.212,
508,21,Mike Rathje,D,27,0,7,7,14,-16,0,0,0,0.000,0.259,0.259,
509,26,Jim McKenzie,F,73,4,2,6,202,-4,0,0,0,0.055,0.027,0.082,
510,29,Jim Sandlak,F,33,4,2,6,6,-3,0,1,1,0.121,0.061,0.182,
511,24,Brett Hauer,D,29,4,2,6,30,-11,2,0,1,0.138,0.069,0.207,
512,20,Marty Murray,F,15,3,3,6,0,-4,2,0,0,0.200,0.200,0.400,
513,25,Patrik Juhlin,F,14,3,3,6,17,4,1,0,0,0.214,0.214,0.429,
514,26,James Black,F,13,3,3,6,16,1,0,0,1,0.231,0.231,0.462,
515,22,Andrew Brunette,F,11,3,3,6,0,5,0,0,1,0.273,0.273,0.545,
516,31,Ken Daneyko,D,80,2,4,6,115,-10,0,0,0,0.025,0.050,0.075,
517,29,Ken Baumgartner,F,72,2,4,6,193,-5,0,0,1,0.028,0.056,0.083,
518,25,Enrico Ciccone,D,66,2,4,6,306,1,0,0,0,0.030,0.061,0.091,
519,33,Jim Johnson,D,66,2,4,6,34,-3,0,0,0,0.030,0.061,0.091,
520,28,Kelly Chase,F,55,2,4,6,230,-4,0,0,1,0.036,0.073,0.109,
